run_id,experiment_tag,timestamp_s,sample_kind,track_id,source,source_label,x_m,y_m,z_m,cleaned_x_m,cleaned_y_m,cleaned_z_m,confidence,position_uncertainty_m
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.000000000,target_map,1,0,detected,-2.218160,-0.568464,0.125367,-2.238255,-0.562476,0.120846,0.766491,0.195079
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.102466583,target_map,1,0,detected,-2.243931,-0.560206,0.119433,-2.234871,-0.563202,0.121025,0.788869,0.157238
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.200273514,target_map,1,0,detected,-2.252675,-0.558758,0.117736,-2.234099,-0.563950,0.121288,0.769482,0.191466
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.299186230,target_map,1,0,detected,-2.224718,-0.565382,0.121562,-2.236957,-0.563851,0.120719,0.783893,0.163462
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.400404692,target_map,1,0,detected,-2.231010,-0.566939,0.122343,-2.239261,-0.565031,0.122003,0.790777,0.151285
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.498741865,target_map,1,0,detected,-2.232453,-0.567970,0.122520,-2.241549,-0.566519,0.123874,0.771320,0.185701
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.598753452,target_map,1,0,detected,-2.255452,-0.566107,0.125855,-2.242623,-0.566523,0.123837,0.774188,0.176392
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.698958397,target_map,1,0,detected,-2.264114,-0.566196,0.127090,-2.242229,-0.566194,0.123576,0.754421,0.211464
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.798826218,target_map,1,0,detected,-2.230086,-0.565403,0.121379,-2.241332,-0.565636,0.123209,0.782967,0.177797
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,0.898710012,target_map,1,0,detected,-2.229038,-0.565293,0.121036,-2.234797,-0.565464,0.122929,0.763017,0.212761
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.000614405,target_map,1,2,predicted,-2.227969,-0.565180,0.120686,-2.226179,-0.565257,0.122468,0.742669,0.248422
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.098751307,target_map,1,0,detected,-2.222776,-0.565247,0.124453,-2.280224,-0.564317,0.121941,0.773825,0.182957
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.198764563,target_map,1,0,detected,-2.221023,-0.565165,0.124789,-2.344968,-0.563214,0.121302,0.754011,0.217961
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.298735619,target_map,1,0,detected,-2.500315,-0.560701,0.118739,-2.420413,-0.561948,0.120553,0.784189,0.160367
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.398756504,target_map,1,0,detected,-2.552757,-0.559775,0.117841,-2.420671,-0.562826,0.121368,0.764436,0.195371
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.498753071,target_map,1,0,detected,-2.605195,-0.558849,0.116943,-2.415755,-0.563969,0.122399,0.744684,0.230371
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.598646164,target_map,1,0,detected,-2.224066,-0.569640,0.128529,-2.364688,-0.563744,0.122185,0.780881,0.173036
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.698787212,target_map,1,0,detected,-2.196443,-0.570881,0.129940,-2.300814,-0.563414,0.121847,0.761006,0.208083
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.798706770,target_map,1,0,detected,-2.244981,-0.559576,0.117673,-2.224136,-0.562979,0.121384,0.788855,0.152961
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.898753405,target_map,1,0,detected,-2.233385,-0.558123,0.116150,-2.229916,-0.562624,0.120161,0.769084,0.187975
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1.998629332,target_map,1,0,detected,-2.221808,-0.556674,0.114628,-2.240431,-0.562178,0.118680,0.749346,0.222931
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.098754406,target_map,1,0,detected,-2.252962,-0.567868,0.122412,-2.240451,-0.564149,0.119679,0.794263,0.152019
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.198759317,target_map,1,0,detected,-2.249021,-0.568649,0.122539,-2.249117,-0.563242,0.119585,0.774377,0.187021
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.298876047,target_map,1,0,detected,-2.245077,-0.569430,0.122666,-2.260702,-0.562131,0.119542,0.754473,0.222053
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.398739815,target_map,1,0,detected,-2.276715,-0.553588,0.115678,-2.266669,-0.558281,0.117686,0.780346,0.169735
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.498700380,target_map,1,0,detected,-2.279735,-0.551119,0.114414,-2.261019,-0.557444,0.117731,0.760569,0.204717
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.599903584,target_map,1,2,predicted,-2.282794,-0.548619,0.113134,-2.254438,-0.556605,0.117883,0.740543,0.240139
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.698719501,target_map,1,0,detected,-2.220775,-0.564466,0.122762,-2.235009,-0.557061,0.120008,0.769581,0.181178
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.798730135,target_map,1,0,detected,-2.212173,-0.565236,0.123429,-2.212268,-0.557737,0.122609,0.749901,0.216181
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.898752928,target_map,1,0,detected,-2.179570,-0.555865,0.126300,-2.183379,-0.569105,0.125318,0.771822,0.174631
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,2.998816013,target_map,1,0,detected,-2.166029,-0.554502,0.127421,-2.163629,-0.579234,0.126244,0.752171,0.209649
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.098729134,target_map,1,0,detected,-2.138348,-0.605455,0.126677,-2.142327,-0.591145,0.127179,0.777960,0.161968
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.198737860,target_map,1,0,detected,-2.122022,-0.615113,0.127391,-2.192386,-0.592368,0.123980,0.758342,0.196971
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.298937082,target_map,1,0,detected,-2.105666,-0.624790,0.128106,-2.254046,-0.593207,0.120039,0.738687,0.232040
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.398704052,target_map,1,0,detected,-2.429865,-0.561981,0.110305,-2.330242,-0.583192,0.115721,0.774958,0.170757
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.498751879,target_map,1,0,detected,-2.474331,-0.558698,0.107713,-2.374039,-0.570548,0.104700,0.755284,0.205773
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.599992037,target_map,1,2,predicted,-2.519326,-0.555377,0.105091,-2.422213,-0.555286,0.091912,0.735375,0.241206
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.698647738,target_map,1,0,detected,-2.341010,-0.551893,0.072287,-2.415513,-0.556575,0.092320,0.782020,0.181130
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.798768044,target_map,1,0,detected,-2.346534,-0.548479,0.064163,-2.402744,-0.558776,0.093884,0.762001,0.216173
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.898670435,target_map,1,0,detected,-2.396363,-0.568427,0.112346,-2.383801,-0.561898,0.096609,0.791206,0.167584
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,3.998732090,target_map,1,0,detected,-2.410488,-0.569707,0.115533,-2.329802,-0.565822,0.107251,0.771163,0.202604
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.098752499,target_map,1,2,predicted,-2.424609,-0.570986,0.118719,-2.264471,-0.570657,0.120280,0.751126,0.237613
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.198769569,target_map,1,0,detected,-2.071016,-0.571512,0.125493,-2.205250,-0.568070,0.117608,0.795682,0.182267
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.298785448,target_map,1,0,detected,-2.019878,-0.572654,0.129308,-2.138113,-0.564730,0.113712,0.775319,0.217269
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.398743153,target_map,1,0,detected,-2.100260,-0.555492,0.098988,-2.063055,-0.560638,0.108592,0.788225,0.158376
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.498691320,target_map,1,0,detected,-2.074801,-0.553008,0.096055,-2.106826,-0.552802,0.104564,0.768411,0.193356
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.598723650,target_map,1,0,detected,-2.049319,-0.550522,0.093119,-2.165827,-0.543644,0.099762,0.748580,0.228369
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.698747158,target_map,1,0,detected,-2.289873,-0.532331,0.105352,-2.162474,-0.536582,0.092170,0.739457,0.176832
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.798781872,target_map,1,0,detected,-2.314881,-0.526869,0.105296,-2.158964,-0.528871,0.083384,0.720603,0.211843
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.898444653,target_map,1,0,detected,-2.083494,-0.520178,0.061028,-2.155314,-0.520516,0.073408,0.787106,0.150875
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,4.998735189,target_map,1,0,detected,-2.057253,-0.514456,0.052124,-2.071318,-0.526932,0.075004,0.767361,0.185971
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,5.098800659,target_map,1,0,detected,-2.031067,-0.508747,0.043239,-1.971815,-0.535698,0.077923,0.747659,0.220994
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,5.198787689,target_map,1,0,detected,-1.869892,-0.564409,0.113331,-1.933264,-0.538659,0.083368,0.769856,0.166960
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,5.298741579,target_map,1,0,detected,-1.817370,-0.570701,0.119893,-1.895051,-0.542153,0.090205,0.750384,0.201942
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,5.399051666,target_map,1,0,detected,-1.890739,-0.534983,0.088251,-1.857147,-0.546173,0.098429,0.792268,0.150376
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,5.498791933,target_map,1,0,detected,-1.866190,-0.531922,0.086309,-1.773465,-0.549286,0.106982,0.772516,0.185270
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,5.598862648,target_map,1,0,detected,-1.841546,-0.528849,0.084359,-1.680864,-0.552671,0.116750,0.752687,0.220300
